hazards 危害
contrast 对比
fraction 分数，一小部分
incorporate 混合，合并，包含
corresponding 相应的，对应的
straightforward 直截了当的
demonstrate 演示，示范
formula 公式，准则，方案
fundamental 基本的，基础的
Directive 指示，指令
distinguish 区分
precautionary 预防
measure 措施
implicitly 隐式
implicit 隐式的，含蓄的
semantics 语义
demand 要求
weigh 权衡，称重
implications 含义，启示
consumes 消耗
extract 提取
subsequent 随后的，后来的
subsequently 其后地，随后地
regardless 不论
subtle 微妙的
subtleties 微妙之处
permit 允许
spurious 伪造的
predicate 断言
conjunction 联合，连接
concrete 具体的
wraps 包装，包裹
parceling 包裹，打包
snippet 片段
broadcast 广播
intimately 密切地
appendix 附录
deem 认为，相信
restricted 受限制的
bracket 支架，括弧
misconception 误解
gross 毛的，粗略的
generalization 归纳，概括
somewhat misleading 有些 误导
Versus 与，vs
mutations 突变，变动
guarantee 保证
Reentrancy 可重入性
overlooked 被忽视的
reentrant 可重入
exhaustive 详细的
Meanwhile 与此同时
rely 依靠
redux 回来的，回家的
encounter 遭遇，遇到，不期而遇
accumulate 积累
determine 确定，决定，判断
hence 从此，因此，所以，今后
Despite 虽然，尽管
outward 向外的，外面的，公开的
descendants 后裔，子类
modal 模态的
usage 用法
caveats 注意事项
sufficiently 充分地
access 访问
Glossary 词汇表
Introduction 介绍
defer 推迟，延缓
decisions 决定
particular 特别的
examines 检查
paradigms 范式，样式
gain 获得，赢得，利润，获益
gains 利润，获益
material 材料
Legacy 遗产
notable 显著的，著名的，特别的
fragile 易碎的，脆的，虚弱的
inherit 继承
synthesis 合成
distinct 不同的
characteristics 特征，特点，特性
capture 捕获，俘获，占领，夺取，夺得
discussed 讨论，论述
distilled  提取，蒸馏
principal 主要的
merely 仅仅，只是
comprise 包括，包含，由..组成
introspection 内省，自我检查
inheritance hierarchy 继承层次（结构）
consisting 包括，由...组成
consist 包含，有..组成
selective 选择性，精心选择的，选择的
replicate 复制，重写，重复
occasion 场合，机会，时刻
circumvent  避免，规避
procedure 程序，手续，工序，过程
precise 精确的
essential 必须的，必不可少的
essentially  实际上，本质上，根本上
equivalent 相当的，相等的
rarely 很少地，罕见地
dispatch 调度，派遣
Successive 逐次，相继的，连续的
succession 继承人，继承顺序，连续性的
climb 爬
jargon 行话，专业术语
object-oriented 面向对象的
slightly  轻微地
accommodate 容纳
halves half的复数形式
Demux 解复用器，分离器，分路器
mux 复用器，mux模块的基本思想是将多路集成为一路
build automation 自动构建
asset 资产，财产，有用的东西
contract 合同，契约
cohesion 内聚，凝聚
coupling 耦合
conceptual 观念的，概念的
concept 观念，概念
decouple 解耦
subroutine 子程序
routine 程序
Principle 原则
persist 坚持，固执，继续存在
persistence 持续，坚持不懈，持久的
President 总统
presentation 演出，报告，表示
Present 目前的，现在的，提交，演出，报告，礼物
Presenter 主持人
adopt 采用
eventually 终究，总归，最后
identifiable 识别，可辨认的
obvious 明显的
specific 具体的，明确的，显著的
specified (by) 规定，指定，由…规定
specification 规范，说明书，详述
react 反应，做出反应
conform 符合，顺应，遵照
maintainable 可维护的
maintain 维护，保持，坚持
preserve 保护，保持，保存
conserve 保护，保藏，保存
sanity 神志正常，思路清晰
approach 途径，接近，走近，靠近，方法
major 主要的，重大的
embark 着手，开始做某事
practice 练习
interactor 交互器
isolate 使隔离，使孤立
acceptance criteria 验收 准则
affect 响应
relay 传递，传达
diagram 图表，图解
roughly 大致地，大概地
plain old 普通的
corresponding 相应的
tend 趋向
gather 收集，采集，集合，聚合
passive 被动的，消极的
expressed 表达，表示
lean 倚，依赖，瘦的，贫瘠的
coexist 共存
assume 假设，承担
contender 竞争者，争夺者
integrate 使一体化，使整合，使结合成整体，使集成
compelling 引人注目的
initiate 发起，启动
aggregate 使聚集，使积聚，总数的，总计的
facilitate 促进，助长，使容易
product 产品
production 生产
spark 电火花，火星，发动，触发，鼓舞
debate 争论，争议，辩论
footprint 脚印，足迹
controversial 有争议的，好争论的
accomplish 完成，做到，达到
compromise 妥协
intact 完整的，完好的
a rule of thumb 经验法则
podcasting 播客
benefit 益处，好处
Conclusion 结论
accurately 准确地，精确地
accuracy 精确性
deviate 偏离，背离
scenario 方案，剧本
spot 地点，场所，斑点，玷污，认出，发现
respectively 各自地，分别地
orthogonal 直角的，矩形的，正交
identically 相同地，同等地
customize 定制，定做
Preference 偏好，偏爱
permit 许可，准许，默许
Palette 调色板
pattern 模式，图案，样品，典范
encapsulate 封装，包裹
contextual 上下文的
compliant 遵从的，兼容的
Compliance 承诺，服从
indirectly 间接地
manually 手动地
burden 负担
multicore 多核的
voluntary 自愿的，自发的
Constant 常量
regulate 调整，调节
actually 事实上，实际上
infrastructure 基础设施，基础建设
arbitrary 随意的，任意的
uniquely 独特地，唯一地
demonstrate 证明，演示
relevant 有关的，相关的
propagate 传播，繁衍
feasible 可行的，可实行的
oblivious 不注意的，不知道的，健忘的
Construct 构造，构建
emit 发射，发出
technique 技术，技巧
derived 派生，衍生，导出，由来
cardinality 基数
first letter capitalized 首字母大写
capitalized 大写的
category 类别，种类，类型，分类
intermediate 中间的，中级的，调解，干涉
informal 非正式的
concise 简约
uniform 制服，统一的，一样的
supplement 补充
afforded 提供，给予
generic 一般的，通用的
parameterized 参数化的
expose 暴露，揭发
efficient 高效的，有效率的
efficiency 效率
collection operator 集合运算符
embed 把…嵌入
omitted 省略，遗漏
exhibit 呈现，展现
coalesce 联合，合并
held 保留，举行，拿
Nesting 嵌套，筑巢
substituting 取代，替代
conduct 行为，举止，实施方式
duplicate 重复，完全一样的
adhere 坚持，附着，追随
validation 验证
glue 胶水
encapsulation 封装，包装
flexibility 灵活性，机动性
flexible 灵活的
lack 缺乏，缺少
traverse 穿过，横贯
evaluate 评价，评估
substitute 代替，替换
triple 三倍的
utilize 利用
outcomes 结果
enhance 增强，加强，提高
underscore 下划线
mutate 变异，突变
intelligent 聪明的，智能的
manipulation 操作，控制
participate 参加，参与
summarize 总结，概述
frequently 往往，频繁地
mutable 可变的
gracefully 优雅地，优美地
largely 大部分地，主要地
announcing 宣布，宣告
receive 接收，收到
receiver 接受者，接收器
sole 唯一的，单独的
destination 目的，目标，目的地
consolidate 统一，合并
negotiate 谈判，协商
mimic 模拟，模仿
illustration 插图，说明，图解
Diplomat 外交官
multifaceted 多方面的
compose 组成，构成
decompose 分解
transparent 透明的，清澈的，显而易见的
Surrogate 代理，代表，代替
substantial 大量的，结实的，牢靠的，重大的
funnel 漏斗
administrative 管理的，行政的
temporary 暂时的，临时的
idle 空闲的，无意义的，懒惰的
circumstance 环境，境遇，情况
fledged 成熟的
destine 注定，预定，指定
ultimate 最终的，极限的，最后的
assist 帮助，援助
square brackets 方括号
parentheses 圆括号
braces 大括号..?
comma 逗号
sophisticated 复杂的
crucial 关键的，极其重要的
motion 运动，手势，意向
facilitate 促进，帮助
privacy 隐私，秘密
security 安全
tandem 串联
Accelerometer 加速度计
Magnetometer 磁强计
Gyroscope 陀螺仪
brief 简短的，简洁的
misbehaving 行为不端的
doubt 怀疑，疑虑
Lengthy 冗长的，漫长的
contribute 有助于，贡献
constrained 受限的，约束的
Finite 有限的
periodic 定期的
decryption 解密
Encryption 加密
mindful 警觉的，留心的
quiescent 不活动的，静态的，休眠的
expiration 呼气，截止，到期，满期
discretionary 任意的，自由决定的，酌情行事的，便宜行事的
seamlessly 无空隙地，无停顿地
authentication 认证，身份验证
precedence 优先权
sensitive 敏感的
obscure 昏暗的，模糊的，朦胧的
orientation 方向
Portrait 肖像画  （iOS竖屏）
Upside Down 颠倒的（iOS竖向颠倒）
landscape 风景画画  （iOS横屏）
landscape left
landscape right
reverse 反转，颠倒
deactivate 停用，使无效
prompt 提示，促使，导致，鼓励
inactive 闲置的，不活动的，不活跃的
deactivate 停用，使无效，解除动员
noticeable lag 明显滞后
sluggish 行动迟缓的，反应慢的
incorporation 合并，团结，编入
ineffective 无效的
machinery 机械，机关，组织
practical 实践的，实际的，可实现的，实用的，注重实际的，可用的
Practically 几乎，事实上，实际上
behalf 利益，维护，支持
on behalf of 代表，为了...的利益
effort 工作，努力，尝试
inaccessible 无法访问的
differentiate 区分
credential 证书，凭据
scenario 方案，场景，脚本
perspective 观点，看法
negative 消极的，否定的
inactivity 静止，不活动
side effects 副作用
interval 间隔
transmit 发送，传输，发射
burst 爆发，爆炸，充满，塞满
dedicate 奉献，现身
correlation 相关性，相互关系
severity 严重，严重程度
purgeable 可清除的
reside 居住，住，留驻
Prefetch 预取，预加载
arbitrarily 任意地，武断地，肆意地
robust 稳健的，健壮的
reenable 重新启用
megabytes 兆字节
heuristic 启发式的，探试的，探索的
memory corruption 内存崩溃，内存损坏，内存错误
corruption 腐败，贪污，贿赂，变体
counterproductive 适得其反
relinquish 放弃
Deferred 延期的，推迟的
acronym 首字母缩略词，缩写
auxiliary 辅助的，附加的
scarce 缺乏的，稀缺的













